,(Camarões) Salada Provençal,alface,cenoura,palmito,tomate seco,mozarela de búfala,parmesão,iogurte,torradas,(Camarões) Salada de Gorgonzola com Pera,pera,gorgonzola,nuts,tomate,mel de engenho,(Camarões) Salada de Frango,frango,mostarda,ervas,mel,(Camarões) Salada de Camarão,camarão,(Camarões) Risoto Brie (Vegetariano),arroz,queijo brie,damasco,abobrinha,amêndoas,frutas vermelhas,(Camarões) Moqueca Vegana,jerimum,batata,banana da terra,leite de coco,castanha de caju,cheiro verde,(Camarões) Risoto Pomodoro (Vegano),cogumelos,brócolis,(Camarões) Fettuccine ao Creme de Castanha (Vegano),fettuccine,legumes,azeite,(Coco Bambu) Salada de Salmão,salmão,alface americana,alface crespa,alface roxa,rúcula,azeitonas pretas,tomate cereja,massa de pizza,(Coco Bambu) Salada Tropical,folhas verdes,manga,molho especial,(Coco Bambu) Salada Caesar Simples,molho caesar,croûtons,(Coco Bambu) Salada Caesar de Frango,(Coco Bambu) Salada Caesar de Camarão,(Coco Bambu) Salada Light,molho de iogurte,(Coco Bambu) Salada Sertão,queijo coalho,azeitona verde,pimentão,cebola,vinagrete,(Coco Bambu) Salada de Carpaccio,carne,alcaparras,(Coco Bambu) Salada Costa Azul,pesto de alcaparra,(Coco Bambu) Salada Coco Bambu,cogumelo shiitake,(Coco Bambu) Salada Caprese Coco Bambu,muçarela de búfala,manjericão,azeitona preta,tapenade,(Coco Bambu) Salada Juliana,batata palha
(Camarões) Salada Provençal,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alface,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cenoura,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
palmito,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
tomate seco,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mozarela de búfala,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
parmesão,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
iogurte,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
torradas,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(Camarões) Salada de Gorgonzola com Pera,0,1,1,1,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
