,(Camarões) Petit Gateau de Chocolate,chocolate,baunilha,(Camarões) Petit Gateau de Doce de Leite,doce de leite,creme,(Camarões) Petit Gateau de Pistache,pistache,(Camarões) Taça Romeu e Julieta,queijo,castanha,(Camarões) Taça Tiramisu,cacau,(Camarões) Naked de Ninho,leite ninho,castanhas,(Camarões) Mil Folhas de Doce de Leite,(Camarões) Macaron Petit com Sorvete de Avelã,amêndoas,(Camarões) Supreme de Pistache,chocolate branco,(Camarões) Cocada Maria Bonita,coco,castanha de caju,(Camarões) Cartola Camarões,banana,canela,(Camarões) Creme de Papaya,(Camarões) Sorvete de Doce de Leite Marmorizado,(Camarões) Brownie Vegano,(Camarões) Mousse Diet,(Camarões) Só um Docinho,(Coco Bambu) Pequena Torta De Banana Cremosa,sorvete de creme,(Coco Bambu) Pequena Torta De Limão,limão,leite condensado,(Coco Bambu) Pequena Torta Pavê De Chocolate Trufada,(Coco Bambu) Blondie de Pistache Individual,(Coco Bambu) Cocada Ao Forno Com Sorvete,coco ralado,(Coco Bambu) Cocada Ao Forno,(Coco Bambu) Pudim De Leite O Melhor Do Mundo,açúcar,(Coco Bambu) Brigadeiro De Colher,(Coco Bambu) Petit Gateau De Chocolate,(Coco Bambu) Petit Gateau De Doce De Leite,(Coco Bambu) Churros Com Doce De Leite Argentino,doce de leite argentino,(Coco Bambu) Mousse De Chocolate,(Coco Bambu) Cocada Mole com Gelato de Coco,(Coco Bambu) Abacaxi,(Coco Bambu) Brownie de Chocolate,(Coco Bambu) Gelato De Creme,(Coco Bambu) Gelato de Brigadeiro,(Coco Bambu) Gelato De Cookies And Cream,(Coco Bambu) Gelato De Doce De Leite,(Coco Bambu) Gelato de queijo com Goiabada,(Coco Bambu) Gelato De Pistache
(Camarões) Petit Gateau de Chocolate,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chocolate,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,1,1,0,0,0
baunilha,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
(Camarões) Petit Gateau de Doce de Leite,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
doce de leite,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
creme,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
(Camarões) Petit Gateau de Pistache,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pistache,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
(Camarões) Taça Romeu e Julieta,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
queijo,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
